Source,Serial.Number,Start.Time,Segment.Start.Time,Segment.Duration,UpDown.mean,UpDown.median,UpDown.var,UpDown.sd,UpDown.mad,Degrees.mean,Degrees.median,Degrees.var,Degrees.sd,Degrees.mad,Step.count,Step.sd,Step.mad,Principal.Frequency.median,Principal.Frequency.mad,Principal.Frequency.ratio,Light.mean,Light.max,Temp.mean,Magnitude.mean,Activity
7,13897,1358342861,13:27:41,25,-1.019,-11.117,995.53,31.552,23.068,45.12,36,3523.777,59.361,47.443,15,110.904,57.821,0.4,0,Inf,31,128,31.4,1.224,swim
8,13897,1358342886,13:28:06,316,-13.381,-18.004,1361.404,36.897,35.015,86.351,15.5,17964.971,134.033,57.821,48,688.651,323.207,0.5,0,Inf,14,85,31.6,1.177,swim
10,13897,1358343221,13:33:41,88,0.898,-1.6,1145.01,33.838,39.632,66.227,24.5,10729.902,103.585,63.01,15,610.709,328.396,0.35,0.222,Inf,19,117,31.8,1.093,swim
11,13897,1358343309,13:35:09,34,13.275,10.202,591.455,24.32,22.432,144.441,125,3355.648,57.928,38.548,10,676.858,75.613,0.1,0.148,Inf,6,53,31.5,1.406,swim
1,13896,1361023354,14:02:34,467,-49.624,-55.961,747.559,27.342,22.135,181.859,204,7486.1,86.522,65.234,86,613.321,318.759,0.4,0.445,Inf,27,85,24.9,1.444,active
2,13896,1361023822,14:10:22,96,-45.342,-51.541,949.696,30.817,25.127,186.49,207,8238.4,90.766,57.08,8,704.643,917.729,0.85,0.89,Inf,26,69,24.7,1.604,active
3,13896,1361023918,14:11:58,21,-50.441,-55.379,404.305,20.107,25.058,171.81,177,3227.362,56.81,72.647,2,353.656,158.638,0.1,0,Inf,22,37,25,1.211,active
4,13896,1361023939,14:12:19,29,0.701,-15.592,2746.29,52.405,64.701,221.966,240,2151.249,46.382,44.478,1,1458.761,1529.302,0.3,0.297,Inf,18,35,25,1.112,active
1,13894,1361023357,14:02:37,199,-41.819,-52.983,1333.126,36.512,25.598,183.2,204,7367.045,85.831,65.234,39,629.664,275.022,0.95,0.89,Inf,48,77,21.8,1.281,active
2,13894,1361023557,14:05:57,88,-38.28,-48.305,1192.732,34.536,26.913,169.398,193.5,8769.231,93.644,73.389,22,395.315,226.838,0.3,0.445,Inf,49,75,21.5,1.439,active
3,13894,1361023645,14:07:25,63,-38.545,-43.617,1132.597,33.654,27.236,202.095,217,4916.636,70.119,48.926,15,357.542,291.331,1.1,0.148,Inf,51,80,21.3,1.238,active
5,13894,1361023713,14:08:33,132,-44.141,-58.209,1250.958,35.369,21.19,178.409,204,8564.076,92.542,71.906,25,403.455,258.714,0.7,0.741,Inf,51,72,21.1,1.294,active
6,13894,1361023845,14:10:45,30,-45.264,-55.967,1083.99,32.924,19.118,172.167,197,7013.385,83.746,52.632,5,417.116,264.644,0.8,0.593,Inf,53,75,21,1.265,active
7,13894,1361023875,14:11:15,37,-37.98,-59.738,1986.128,44.566,20.936,209.514,221,5185.868,72.013,37.065,8,359.303,351.376,0.1,0.074,Inf,53,75,21,1.487,active
8,13894,1361023912,14:11:52,76,-22.399,-28.106,1591.394,39.892,46.705,203.105,209,4378.362,66.169,61.528,11,1247.36,302.45,0.1,0.074,Inf,31,77,20.9,1.116,active
2,13900,1361021760,13:36:00,105,-25.021,-23.701,1285.672,35.856,45.763,220.419,221,2796.803,52.885,22.239,28,316.973,277.246,0.1,0.148,Inf,19,32,25.6,1.039,active
3,13900,1361021865,13:37:45,38,-15.589,-8.837,1688.378,41.09,52.857,215.763,217.5,1228.023,35.043,17.791,18,215.387,106.747,0.1,0,Inf,21,45,25,1.126,active
4,13900,1361021903,13:38:23,65,-11.045,1.875,1687.88,41.084,41.064,206.538,213,2389.252,48.88,23.722,16,372.211,296.52,0.1,0.074,Inf,23,43,24.7,1.068,active
5,13900,1361021968,13:39:28,23,-23.451,-7.561,1939.76,44.043,61.918,212.043,221,3381.68,58.152,23.722,5,593.291,46.702,0.2,0,Inf,24,43,24.5,1.144,active
6,13900,1361021991,13:39:51,69,47.9,48.741,136.54,11.685,6.463,153.406,146,916.774,30.278,14.826,24,231.476,148.26,0.1,0.148,Inf,29,53,24.2,1.021,active
7,13900,1361022060,13:41:00,27,-41.162,-54.264,1277.995,35.749,20.987,205.63,229,9913.088,99.564,59.304,11,140.673,121.573,0.3,0.148,Inf,19,56,24,1.205,active
8,13900,1361022087,13:41:27,38,-41.909,-51.991,1083.363,32.914,27.328,235.211,233,541.522,23.271,20.756,25,102.45,111.936,0.45,0.519,Inf,19,43,23.9,1.15,active
9,13900,1361022125,13:42:05,23,-39.254,-48.354,987.027,31.417,33.748,214.913,215,4135.356,64.307,35.582,2,759.564,68.2,0.1,0.148,Inf,22,35,23.7,1.093,active
10,13900,1361022148,13:42:28,41,-19.988,-21.074,1639.46,40.49,53.227,220.829,214,1105.795,33.253,22.239,9,349.561,340.257,0.1,0,Inf,26,61,23.7,1.072,active
11,13900,1361022189,13:43:09,27,-33.495,-56.051,1512.444,38.89,38.249,218.63,230,3541.011,59.506,19.274,9,205.88,238.699,0.1,0,Inf,22,61,23.7,1.112,active
13,13900,1361022229,13:43:49,63,-51.524,-67.349,976.764,31.253,14.931,218.587,221,1067.569,32.674,16.309,32,171.958,109.712,0.3,0.148,Inf,19,32,23.4,1.018,active
15,13900,1361022296,13:44:56,64,-10.651,2.541,1512.775,38.894,35.466,212.266,223,4890.865,69.935,29.652,11,918.142,315.794,0.1,0,Inf,19,59,23.3,1.042,active
1,13893,1361021749,13:35:49,20,-45.139,-44.748,470.389,21.688,23.568,235.381,226,912.748,30.212,25.204,7,171.885,203.116,0.4,0.445,Inf,24,51,23.7,1.194,active
3,13893,1361021783,13:36:23,57,-46.154,-45.983,634.873,25.197,24.482,231.105,236,2238.453,47.312,25.204,19,243.095,100.817,0.3,0.297,Inf,25,56,23.5,1.281,active
4,13893,1361021840,13:37:20,21,-59.71,-70.912,897.101,29.952,20.894,212.952,249,10000.848,100.004,42.995,7,242.776,74.13,0.2,0.148,Inf,20,40,23.4,1.027,active
5,13893,1361021861,13:37:41,32,-43.318,-47.63,972.084,31.178,31.242,231.906,240.5,1508.862,38.844,24.463,8,394.106,186.808,0.4,0.297,Inf,25,45,23.1,1.285,active
6,13893,1361021893,13:38:13,46,-44.207,-43.17,445.153,21.099,21.428,229.109,249.5,4800.232,69.284,26.687,17,329.924,138.623,0.25,0.371,Inf,25,56,23.1,1.168,active
7,13893,1361021939,13:38:59,58,-44.516,-50.75,772.695,27.797,27.42,196.397,232,10094.735,100.473,35.582,20,250.343,176.429,0.35,0.371,Inf,25,51,22.9,1.306,active
8,13893,1361021997,13:39:57,65,-34.505,-39.657,1234.453,35.135,40.163,201.246,235,6985.938,83.582,37.065,23,270.309,183.101,0.45,0.445,Inf,28,53,22.8,1.176,active
9,13893,1361022062,13:41:02,38,-47.003,-55.682,980.363,31.311,30.961,191.632,231.5,10285.698,101.418,54.856,17,144.381,157.156,0.35,0.297,Inf,21,43,22.6,1.184,active
10,13893,1361022100,13:41:40,69,-36.149,-39.285,1030.974,32.109,27.258,212.681,243,7712.456,87.821,31.135,28,223.867,117.125,0.4,0.445,Inf,30,61,22.6,1.323,active
11,13893,1361022169,13:42:49,34,-48.422,-59.167,996.762,31.572,23.849,230.706,237.5,3710.578,60.915,36.324,9,243.945,234.992,0.2,0.297,Inf,30,61,22.6,1.377,active
12,13893,1361022203,13:43:23,43,-44.407,-43.732,479.84,21.905,26.185,224.047,253,7668.76,87.571,29.652,16,197.266,244.629,0.9,0.297,Inf,32,61,22.6,1.294,active
13,13893,1361022246,13:44:06,28,-32.873,-46.962,1965.836,44.338,31.769,228.643,246,5074.979,71.239,22.98,11,122.411,156.414,0.75,0.445,Inf,34,64,22.5,1.089,active
14,13893,1361022274,13:44:34,47,-57.442,-66.988,753.425,27.449,18.877,203.553,240,9663.209,98.302,53.374,9,388.681,302.45,0.35,0.297,Inf,30,56,22.4,1.162,active
16,13893,1361022323,13:45:23,29,-6.257,-4.677,1156.947,34.014,37.465,187.276,194,499.778,22.356,13.343,0,NA,0,0.1,0,Inf,23,48,22.3,1.048,active
